id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1349023,4.35,Cc1oc2ccc(OCC(N)=O)cc2c1C(=O)OC(C)C,Homo sapiens,chembl
CHEMBL1349172,4.26,N#Cc1c(N)nc(SCc2ccncc2)c(C#N)c1-c1cccs1,Homo sapiens,chembl
CHEMBL1349350,5.14,NC(=O)c1ccsc1NC(=O)CSc1nc2ccccc2c(=O)n1CCCO,Homo sapiens,chembl
CHEMBL1349875,4.9,COc1cccc(C2=NOC(C(=O)Nc3cccnc3)C2)c1,Homo sapiens,chembl
CHEMBL1351746,4.49,CCc1cc(=O)oc2cc(C)cc(O)c12,Homo sapiens,chembl
CHEMBL1352869,5.74,CCn1ncc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c1C,Homo sapiens,chembl
CHEMBL1358988,4.31,CCOC(=O)c1ccccc1NC(=O)CN(c1ccccc1)S(=O)(=O)N(C)C,Homo sapiens,chembl
CHEMBL1359573,4.14,Cc1cccc(-n2ncc3c(NCc4cccs4)ncnc32)c1,Homo sapiens,chembl
CHEMBL1359999,4.19,O=C(Nc1ccccc1N1CCCC1)c1ccc(Br)o1,Homo sapiens,chembl
CHEMBL1360489,6.03,O=C(C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,Homo sapiens,chembl
CHEMBL1360631,4.94,COc1ccc(COC(=O)c2[nH]nc3ccccc23)cc1F,Homo sapiens,chembl
CHEMBL1362814,4.08,CCCc1nc(SCC(=O)Nc2cc(C)on2)c2ccccc2n1,Homo sapiens,chembl
CHEMBL1365941,4.97,Cc1ccccc1-n1nc(C)c2cc(C(=O)NCc3cccnc3)sc21,Homo sapiens,chembl
CHEMBL1366979,5.17,O=Nc1c(O)n(Cc2ccc(Cl)cc2)c2ccccc12,Homo sapiens,chembl
CHEMBL1367073,5.38,COc1cc(NC(=O)C2CC(c3cccc(OC)c3OC)=NO2)cc(OC)c1OC,Homo sapiens,chembl
CHEMBL1367188,4.59,CCOC(=O)c1cnc2ccc(Cl)cc2c1N1CCN(C)CC1,Homo sapiens,chembl
CHEMBL1368821,4.73,c1ccc(Nc2ccccc2Nc2ccccn2)nc1,Homo sapiens,chembl
CHEMBL1369507,4.98,NC(=O)c1ccsc1NC(=O)c1ccco1,Homo sapiens,chembl
CHEMBL1370293,4.54,CN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,Homo sapiens,chembl
CHEMBL1370575,4.28,COc1cc(C(=O)NCc2cn3ccsc3n2)cc(OC)c1OC,Homo sapiens,chembl
CHEMBL1370652,4.38,O=C(CNC(=O)c1ccc(Br)o1)Nc1cccc(-c2cnc3ccccc3n2)c1,Homo sapiens,chembl
CHEMBL1371099,4.87,Cc1ccc(Nc2cc(-n3nc(C)cc3C)ncn2)cc1,Homo sapiens,chembl
CHEMBL1371386,4.21,c1ccc(-n2ncc3c(NCc4ccco4)ncnc32)cc1,Homo sapiens,chembl
CHEMBL1372085,5.47,O=Nc1c2[nH]c3ccccc3[n+]([O-])c-2c2ccccc12,Homo sapiens,chembl
CHEMBL1372214,4.35,Cc1cc(C)n(-c2ccc(C(=O)Nc3sccc3C(N)=O)cc2)n1,Homo sapiens,chembl
CHEMBL1372854,4.57,Cc1nn(C)cc1CNC(=O)c1cnn2c(C(F)F)cc(C3CC3)nc12,Homo sapiens,chembl
CHEMBL1372889,5.01,CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,Homo sapiens,chembl
CHEMBL1372916,4.42,O=C(NCc1nc2cc(Br)c[nH]c-2n1)c1ccccc1,Homo sapiens,chembl
